Experiment_ID,Architecture,Optimizer,Epochs,Activation,Scheduler,Loss_Function,Noise_Level,Data_Points,weigthed,Execution_Time(s),Final_Total_Loss,Final_Physics_Loss,Final_Data_Loss,Final_BC_Loss,MAE,L2_Error,True_K,Estimated_K,Rel_Error_K
Poisson_Inverse_Tanh_N5_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.05,50,False,71.64974308013916,6.380214147521026e-06,5.385269254869273e-07,5.6971792802549625e-06,1.445079417791362e-07,4.655088822522021,0.017965676620375518,1.0,1.0139710378684788,1.3971037868478753
Poisson_Inverse_Tanh_N5_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.05,50,True,67.41800594329834,1.038336310593087e-05,3.832164885198412e-06,4.8490540472421825e-06,1.7021441734902756e-06,7.8247296510071145,0.0260850487760749,1.0,1.0232124744998965,2.3212474499896496
Poisson_Inverse_Tanh_N5_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.05,100,False,67.07486248016357,1.239825074790305e-05,2.781426402498001e-06,7.087964869934669e-06,2.528859475470379e-06,8.82070183133295,0.029285467251160584,1.0,1.0175992907068743,1.759929070687427
Poisson_Inverse_Tanh_N5_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.05,100,True,67.5586953163147,9.464411510535608e-06,2.5789091636813663e-06,5.818729612319832e-06,1.0667727345344093e-06,8.22947806025896,0.020075441346750145,1.0,1.0128168400701265,1.2816840070126512
Poisson_Inverse_Tanh_N5_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.05,500,False,67.02011704444885,1.2523728530732154e-05,3.0034987741207095e-06,6.979293715989603e-06,2.5409360406218424e-06,9.782166880097702,0.03009434502784469,1.0,1.025664193727826,2.5664193727825912
Poisson_Inverse_Tanh_N5_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.05,500,True,67.61857223510742,8.97720743629675e-06,2.6040651755299468e-06,5.8747001390506505e-06,4.984421217161527e-07,5.871707380520894,0.014212399005063383,1.0,1.0080021125079242,0.8002112507924153
Poisson_Inverse_Tanh_N10_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.1,50,False,72.261714220047,2.354517387338507e-05,1.5458648771018964e-06,2.14669160100719e-05,5.323929862112763e-07,9.243756212153178,0.019984309740891847,1.0,1.0140992927741252,1.409929277412525
Poisson_Inverse_Tanh_N10_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.1,50,True,67.53936767578125,2.7904281188878414e-05,2.832658632737363e-06,2.381319118830766e-05,1.2584313678333937e-06,13.309289807015867,0.0344540843310624,1.0,1.0306628502643291,3.0662850264329133
Poisson_Inverse_Tanh_N10_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.1,100,False,66.85041689872742,2.6042798583152886e-05,3.4321832336110136e-06,2.0025129590911118e-05,2.5854857586307552e-06,14.130679383959603,0.03236710534660548,1.0,1.020096566078017,2.009656607801702
Poisson_Inverse_Tanh_N10_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.1,100,True,67.02076530456543,3.0025154746149032e-05,1.925103469050472e-06,2.627286675337395e-05,1.8271845237246084e-06,10.281327098544784,0.033091981384244476,1.0,1.035780984478758,3.5780984478757993
