% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 9 2026, 18:24"
% Dimension,2
% Nodes,20128
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s) @ lambda=0.05,v (m/s) @ lambda=0.05,p (Pa) @ lambda=0.05,vef.Te_1xx (N/m^2) @ lambda=0.05,vef.Te_1xy (N/m^2) @ lambda=0.05,vef.Te_1yy (N/m^2) @ lambda=0.05
-0.025000000000000005,-0.021753246753246757,0,0,0.0834560218697683,2.3782516948461148E-4,-0.00623073940582809,-2.442995939080485E-4
-0.023962813073274927,-0.022411763818010366,-5.6603755192827E-6,3.7118636374376794E-6,0.03758924323871344,-0.02251611129716212,0.010317404005446023,0.022574539076744993
-0.01367789783368546,-0.014170472417911606,-0.005449988251296879,0.004804382320780833,0.1708344248039496,-2.24736705597577,-0.7378152019084903,3.0730242583686933
-0.013981256525010392,-0.01410546930344095,-0.00502438219866051,0.00487140673292951,0.1593110547072926,-2.20144204846954,-0.43853152801384526,2.9405149763056264
-0.013849824609959252,-0.014227940641109335,-0.005176759932889556,0.004711628884046718,0.15452255330532896,-2.1694251230819632,-0.5955114976241006,2.9080755742343953
-0.012816978605964771,-0.014288268566111187,-0.006740823264975083,0.004426866099725605,0.21029167361934611,-2.1433563514620104,-1.7877463076817381,3.2757284191360623
-0.012679131780828632,-0.014221641019906124,-0.00703340071604953,0.0044632988894333595,0.24678430177632094,-2.1640164922557874,-1.9899276948516142,3.415215244401386
-0.013382917138168993,-0.014222371683485098,-0.005879049467462004,0.004708399093638759,0.18312391835496666,-2.2568251193785334,-1.0642434883986882,3.1763653096578257
-0.013096013593954606,-0.014261352891341623,-0.006310163844060665,0.00458327830515931,0.19876567557693936,-2.2264396197054968,-1.4120561133591485,3.247395393515163
-0.012960601309442344,-0.014356249514676768,-0.00645212321098896,0.004383631672250547,0.19449201768421887,-2.1314643623036233,-1.5780853476622039,3.1503294427520383
-0.013248392828262701,-0.014326436160187687,-0.0060254790093451785,0.004521915125598324,0.17837110569572392,-2.1840963841223293,-1.229846479212994,3.101992333307645
