x,y,u,v,p,psi,u_exact,p_exact,psi_exact
0.016949153,0.013793103,0.12915318,-0.0016967095,0.9854385,0.00047519413,0.12841856,0.9830508,0.0009075129
0.033898305,0.013793103,0.12577677,-0.008623637,0.97622365,0.0006708272,0.12841856,0.9661017,0.0009075129
0.050847456,0.013793103,0.13554811,-0.0003414072,0.9410607,0.0018619203,0.12841856,0.9491525,0.0009075129
0.06779661,0.013793103,0.120860055,-0.0072911833,0.93280333,0.001931991,0.12841856,0.9322034,0.0009075129
0.084745765,0.013793103,0.12801498,-0.0060767266,0.9047151,0.0011320716,0.12841856,0.91525424,0.0009075129
0.10169491,0.013793103,0.13037646,0.0022801533,0.8954338,0.00086693297,0.12841856,0.89830506,0.0009075129
0.118644066,0.013793103,0.13369927,-0.0022885874,0.88646126,0.0013578739,0.12841856,0.88135594,0.0009075129
0.13559322,0.013793103,0.13186955,0.006929969,0.8631125,0.000347764,0.12841856,0.86440676,0.0009075129
0.15254237,0.013793103,0.12863387,0.006708707,0.85110825,-0.0003078945,0.12841856,0.84745765,0.0009075129
0.16949153,0.013793103,0.13135356,0.010818599,0.8310752,0.0019174111,0.12841856,0.8305085,0.0009075129
0.18644068,0.013793103,0.14056365,-0.0015090038,0.805269,0.0015465559,0.12841856,0.8135593,0.0009075129
0.20338982,0.013793103,0.12405493,-0.006744692,0.7935463,0.0011022338,0.12841856,0.7966102,0.0009075129
0.22033899,0.013793103,0.1327163,-0.0038822768,0.7881653,0.0002947665,0.12841856,0.779661,0.0009075129
0.23728813,0.013793103,0.13453153,-0.004505965,0.7660404,0.0012047263,0.12841856,0.7627119,0.0009075129
0.2542373,0.013793103,0.11924272,-0.0009625671,0.74601525,0.0004540361,0.12841856,0.7457627,0.0009075129
0.27118644,0.013793103,0.1271809,-0.005548997,0.7391249,-0.00020190276,0.12841856,0.7288135,0.0009075129
0.2881356,0.013793103,0.124260835,-0.0028089087,0.7061594,0.0014722382,0.12841856,0.7118644,0.0009075129
0.30508474,0.013793103,0.13032375,-0.002770206,0.7015641,-3.4472556e-05,0.12841856,0.6949153,0.0009075129
0.3220339,0.013793103,0.13058557,0.0018285424,0.6903512,0.00027899357,0.12841856,0.6779661,0.0009075129
0.33898306,0.013793103,0.13434798,0.0047563286,0.66698337,0.00072027836,0.12841856,0.66101694,0.0009075129
0.3559322,0.013793103,0.13143973,0.0032350868,0.6548193,0.00086181716,0.12841856,0.64406776,0.0009075129
0.37288135,0.013793103,0.13572124,-0.0070089526,0.61606544,0.00096227,0.12841856,0.62711865,0.0009075129
0.3898305,0.013793103,0.122776486,0.0001567013,0.60787517,0.0018954035,0.12841856,0.61016953,0.0009075129
0.40677965,0.013793103,0.13790336,0.0021303603,0.6049591,0.0011432683,0.12841856,0.59322035,0.0009075129
0.42372882,0.013793103,0.13355148,-0.0059969006,0.57365125,0.0015706957,0.12841856,0.5762712,0.0009075129
0.44067797,0.013793103,0.13147706,0.003868411,0.55288094,-0.0006415585,0.12841856,0.559322,0.0009075129
0.45762712,0.013793103,0.12593713,0.001114685,0.54750377,0.0010620025,0.12841856,0.5423729,0.0009075129
0.47457626,0.013793103,0.11912822,-0.0005138512,0.5191299,0.0009714614,0.12841856,0.52542377,0.0009075129
0.4915254,0.013793103,0.123506464,-0.0074281106,0.50302994,0.000900785,0.12841856,0.5084746,0.0009075129
0.5084746,0.013793103,0.13861644,0.0039764056,0.4833535,0.0010137566,0.12841856,0.4915254,0.0009075129
0.52542377,0.013793103,0.12984043,0.0027356918,0.47036117,0.0010284652,0.12841856,0.47457623,0.0009075129
0.5423729,0.013793103,0.1340953,0.00387061,0.44456312,0.00091318844,0.12841856,0.45762712,0.0009075129
0.559322,0.013793103,0.13411511,-0.0035560492,0.4479861,0.0005951531,0.12841856,0.440678,0.0009075129
0.5762712,0.013793103,0.1315444,0.0028181726,0.43051508,0.00072355906,0.12841856,0.42372882,0.0009075129
0.59322035,0.013793103,0.1275317,-0.004843736,0.40030748,0.00041473104,0.12841856,0.40677965,0.0009075129
0.61016953,0.013793103,0.12545116,-0.002969332,0.4033818,0.0022835168,0.12841856,0.38983047,0.0009075129
0.62711865,0.013793103,0.12613894,0.002869052,0.3783505,3.7322985e-05,0.12841856,0.37288135,0.0009075129
0.64406776,0.013793103,0.12662648,0.0007505659,0.37132144,0.0008509365,0.12841856,0.35593224,0.0009075129
0.66101694,0.013793103,0.13615432,-0.000875586,0.35121807,0.00036895543,0.12841856,0.33898306,0.0009075129
0.6779661,0.013793103,0.123824924,-0.0053397147,0.32066315,0.0011113486,0.12841856,0.32203388,0.0009075129
0.6949153,0.013793103,0.1231611,0.01268862,0.31031972,-0.0003245526,0.12841856,0.3050847,0.0009075129
0.7118644,0.013793103,0.12841773,-0.0061608395,0.28563252,0.0012488177,0.12841856,0.2881356,0.0009075129
0.7288135,0.013793103,0.11804952,-0.0057571046,0.2727675,0.00037684775,0.12841856,0.27118647,0.0009075129
0.7457627,0.013793103,0.1270994,-0.0012155351,0.24895117,6.371434e-05,0.12841856,0.2542373,0.0009075129
0.7627119,0.013793103,0.13633296,-0.003964304,0.23943484,0.0009347009,0.12841856,0.23728812,0.0009075129
0.779661,0.013793103,0.12939166,0.0022143018,0.21085241,0.0008170515,0.12841856,0.220339,0.0009075129
0.7966102,0.013793103,0.12404667,0.000961278,0.20844075,0.00015575514,0.12841856,0.20338982,0.0009075129
0.8135593,0.013793103,0.12555753,-0.00035076184,0.18230481,0.00017847645,0.12841856,0.1864407,0.0009075129
0.8305085,0.013793103,0.12747644,0.0014449398,0.15718529,0.00078304927,0.12841856,0.16949153,0.0009075129
0.84745765,0.013793103,0.12748832,0.0018280172,0.16187534,0.00087509747,0.12841856,0.15254235,0.0009075129
0.86440676,0.013793103,0.12392609,-0.0072138053,0.12126119,0.0006382376,0.12841856,0.13559324,0.0009075129
0.88135594,0.013793103,0.13149317,-0.00024640316,0.1178292,0.0022222141,0.12841856,0.11864406,0.0009075129
0.89830506,0.013793103,0.12973933,-0.00033192124,0.11668342,0.0007840464,0.12841856,0.10169494,0.0009075129
0.91525424,0.013793103,0.12341687,-0.009659354,0.112325124,0.00037868618,0.12841856,0.084745765,0.0009075129
0.9322034,0.013793103,0.12858063,-0.002685893,0.07412284,0.0010489796,0.12841856,0.06779659,0.0009075129
0.9491525,0.013793103,0.12970392,-0.00142599,0.048646726,0.001126893,0.12841856,0.05084747,0.0009075129
0.9661017,0.013793103,0.12959008,0.00014468997,0.037415892,0.00044954274,0.12841856,0.033898294,0.0009075129
0.9830508,0.013793103,0.12748027,0.0075891064,-0.006116638,0.0010306558,0.12841856,0.016949177,0.0009075129
1.0,0.013793103,0.121956274,0.0027328858,0.01290177,0.0011193368,0.12841856,0.0,0.0009075129
0.0,0.020689655,0.18276463,-0.00425492,0.9848556,0.0016896724,0.18549347,1.0,0.0019927016
0.016949153,0.020689655,0.18355234,0.0010978549,0.98330474,0.0028504936,0.18549347,0.9830508,0.0019927016
0.033898305,0.020689655,0.1892867,-0.0031738465,0.9566903,0.001969909,0.18549347,0.9661017,0.0019927016
0.050847456,0.020689655,0.18766299,-0.0033675665,0.95934016,0.001325784,0.18549347,0.9491525,0.0019927016
0.06779661,0.020689655,0.18878312,-0.004264638,0.9344372,0.0019950548,0.18549347,0.9322034,0.0019927016
0.084745765,0.020689655,0.19198526,0.0025952226,0.91780925,0.002028143,0.18549347,0.91525424,0.0019927016
0.10169491,0.020689655,0.1818034,-0.008746963,0.888521,0.0021044435,0.18549347,0.89830506,0.0019927016
