x,y,u,v,p,psi,tau_xx,tau_xy,tau_yy,u_exact,p_exact,psi_exact,tau_xx_exact,tau_xy_exact,tau_yy_exact
0.084745765,0.013793103,0.2568371,0.0,0.91525424,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.91525424,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.10169491,0.013793103,0.2568371,0.0,0.89830506,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.89830506,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.118644066,0.013793103,0.2568371,0.0,0.88135594,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.88135594,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.13559322,0.013793103,0.2568371,0.0,0.86440676,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.86440676,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.15254237,0.013793103,0.2568371,0.0,0.84745765,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.84745765,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.16949153,0.013793103,0.2568371,0.0,0.8305085,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.8305085,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.18644068,0.013793103,0.2568371,0.0,0.8135593,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.8135593,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.20338982,0.013793103,0.2568371,0.0,0.7966102,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.7966102,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.22033899,0.013793103,0.2568371,0.0,0.779661,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.779661,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.23728813,0.013793103,0.2568371,0.0,0.7627119,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.7627119,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.2542373,0.013793103,0.2568371,0.0,0.7457627,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.7457627,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.27118644,0.013793103,0.2568371,0.0,0.7288135,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.7288135,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.2881356,0.013793103,0.2568371,0.0,0.7118644,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.7118644,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.30508474,0.013793103,0.2568371,0.0,0.6949153,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.6949153,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.3220339,0.013793103,0.2568371,0.0,0.6779661,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.6779661,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.33898306,0.013793103,0.2568371,0.0,0.66101694,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.66101694,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
0.3559322,0.013793103,0.2568371,0.0,0.64406776,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005,0.2568371,0.64406776,0.001814989,-3.9498235e-10,-1.1513533e-11,-0.005
