% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 22 2026, 00:01"
% Dimension,2
% Nodes,5086
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s) @ epsilon=0.1,v (m/s) @ epsilon=0.1,p (Pa) @ epsilon=0.1,vef.Te_1xx (N/m^2) @ epsilon=0.1,vef.Te_1xy (N/m^2) @ epsilon=0.1,vef.Te_1yy (N/m^2) @ epsilon=0.1
0.0143037118419788,0.012545204192439477,0.004238916878859622,-0.007170015736717157,1.7051271200692113,0.27066264967054116,-1.5100924701976577,4.56480146561949
0.01445310477866047,0.0125400028143266,0.00396868379246361,-0.006957789977524615,1.5039186573981551,0.17988865261030618,-1.4025786322074583,4.308922455128422
0.014381534484329047,0.01240876639851925,0.004019537941995428,-0.007295211764194822,1.470547647976159,0.17967612342600262,-1.3737980884608358,4.656423852835249
0.014455032777517944,0.0122699521913998,0.003783031047562947,-0.007420552792800034,1.6907984108139582,0.09700872237504694,-1.2295943657368893,4.741084980871093
0.014540946260319619,0.012405474324429537,0.00373583926708211,-0.007053787426793359,1.4800783492823342,0.09475816231656485,-1.2678770058135613,4.36757310556422
0.01452413555302291,0.012128895840071584,0.0035524682167178434,-0.0075336771503029835,1.5268396962159132,0.023893458653676453,-1.0823309641436565,4.813804107202754
0.014609931764667168,0.012268397418482029,0.003524326196581474,-0.007164850249075815,1.4793495521092461,0.024295577653886083,-1.1403043830287174,4.441425970000291
0.014375354792961943,0.012982432815548485,0.0042851526574035495,-0.006287463112857575,1.3331845634436776,0.3620836832631454,-1.5650424041316173,3.791379422706654
0.014119697455404432,0.013720807424920668,0.004720383664669423,-0.005229855722384696,1.1414606996839654,0.6791464170425686,-1.7217981956774013,2.9939493924632465
0.014755282782341356,0.011545084353673888,0.0025669483064595737,-0.007923740418214012,1.7899655497290103,-0.16975303163202052,-0.45367251340289944,4.998330649670439
0.014895594522828442,0.011674053623257418,0.002556164373908512,-0.0074737369800751295,1.4230439129115082,-0.19429608171511137,-0.5406700644646074,4.585180683318529
0.014704405031812392,0.011693686304088876,0.0028281474105086054,-0.007834356176798778,1.5058008000162368,-0.13735917331146372,-0.616072806299086,4.965603451016487
0.014648884232660605,0.011840618209004684,0.003071704287538123,-0.007742179067123526,1.5755698445362725,-0.09401441246253238,-0.7733627926019008,4.927163670473975
0.014825284481475999,0.011826959115400397,0.002808987972443114,-0.0074193361831884465,1.4682872284816375,-0.1529085345076772,-0.6970664104643358,4.574318514145353
0.014588774500088612,0.011985736283431542,0.003312808457449676,-0.007642098276708056,1.5846503286153546,-0.040068136434067224,-0.9293499214611818,4.876202933859878
0.014754940068310903,0.01198471894306367,0.0030615481921304755,-0.007337286295977126,1.4639535788909344,-0.10022560523820716,-0.8569344057659126,4.535767899804392
0.014686451673050917,0.012128038793449163,0.0032914829939259256,-0.00725116253968484,1.4857662614743175,-0.04343994134556054,-0.9980589045167662,4.489749688518912
0.014801469324203571,0.01139495244676372,0.002312254941801651,-0.008001929517827055,1.8616304163936424,-0.19154443045991396,-0.29071931785640015,5.025274332054128
0.01493445220068057,0.011513356353945181,0.0023258536679402336,-0.007580248380500123,1.3987673782138461,-0.2221805396036534,-0.3885054569601499,4.639787235590133
0.014842921746160493,0.01124342629880737,0.0020646097086283377,-0.008069465393765164,1.8064068097652435,-0.2035909644889912,-0.12755632080944806,5.0409131042282995
0.014959429856587292,0.01136458873849668,0.002115113028650989,-0.007684750797581547,1.4165589400724956,-0.23841732552771952,-0.2471443513448687,4.6935183827901605
0.014991643309236129,0.011199264790400747,0.0018671406863897705,-0.007772965163113355,1.4836360321805715,-0.2480314834527169,-0.08216868978007197,4.725047294736989
0.014879595159429932,0.011090665429940793,0.0018222769817426902,-0.008127514936992718,1.4931453856616497,-0.20674569780598515,0.03444757768665472,5.043753705869067
0.014911450597951645,0.01093683137430405,0.0015578417927651865,-0.008182223570098639,1.738763001115318,-0.19857819187987868,0.20054962662798917,5.036711448845159
0.015038248259075257,0.011044465433280916,0.0016162622469666499,-0.007801149969014908,1.47427460889768,-0.2502310877077169,0.07206778644471641,4.700754308715303
0.014938455742167742,0.010782083680081914,0.0012996231899807477,-0.008227307040741783,1.7845473773094154,-0.1802692871403969,0.36550346268023554,5.019670533167396
0.015061549346405119,0.010894073742431017,0.0013876787509297234,-0.007858654719399406,1.448074353091448,-0.2410282686868074,0.21721458882221648,4.704202356151871
0.013681527751657284,0.006432351695222713,-0.005569774526695552,-0.005746874426136973,1.7545207615203946,3.254389433573571,2.3085588520144267,1.2722185464113096
0.013644843410250553,0.006577264761224861,-0.005705953169696344,-0.006067901608079749,2.067100595629436,3.456884796343551,2.455805453086396,1.4423872562782114
0.01353553390593274,0.006464466094067266,-0.005885678480096735,-0.005893654181896014,1.7381391416351508,3.6067880619424226,2.3890353787957377,1.2921685670992806
0.011090665429940793,-0.005120404840570064,-0.008127649852403388,0.001821167367674914,1.960861894126751,4.873595519375866,0.028070615716285347,-0.19727216053947838
0.011048454876476385,-0.004949957765702918,-0.007869629994312127,0.0016314441274311588,1.7836721068132595,4.572071757727407,0.0435737978198677,-0.24706414609301328
0.01093683137430405,-0.005088549402048354,-0.008182104004581962,0.001558488194780362,2.03462569745187,4.839692824482987,0.1880666259106981,-0.18880505388855903
0.010886169544085597,-0.004922388093860256,-0.007928351659405837,0.0013820536580349011,1.740555112360722,4.5484369608882735,0.19664613515169385,-0.2382484900499449
0.010782083680081916,-0.005061544257832261,-0.0082278274393962,0.0012962112237453914,2.0908255421751636,4.797711608267008,0.34579353894303194,-0.17015236121746682
0.010726489547476008,-0.004907651960667565,-0.007988715135491405,0.0011390582231490668,1.7122091552958352,4.5258444482118,0.34549012322445155,-0.21884854766379877
0.010626579228399678,-0.005039415511198498,-0.0082640796948249,0.0010408130794914863,2.008994477529664,4.745455509472289,0.4994145467598898,-0.14247182099242514
0.010470471553061363,-0.005022183559254116,-0.00829183639168508,7.88642101464611E-4,1.7377831413298266,4.682841629016607,0.6466735765652841,-0.10688129908664819
0.01055154442058124,-0.004890367564584057,-0.008033859987806506,8.672487277832382E-4,1.7204766065682995,4.477025103090689,0.5076721561396461,-0.18731462771029242
-0.005120404840570065,0.011090665429940798,-0.001805221291582797,0.00813137235831624,1.0500682906280623,0.6880457779343357,-1.80450881164128,3.4652900359063925
-0.005088549402048356,0.010936831374304052,-0.0015563378374068553,0.008182714970041438,1.216481261463953,0.5810506686973533,-1.7172769526481877,3.582950912500658
-0.004966864511972756,0.011050075394814774,-0.0016474825910657135,0.007906246275335045,1.1459972588773646,0.5234949998680819,-1.6507231426982363,3.3297930663838393
-0.00498213032998328,0.011199459926993826,-0.0018677619981988549,0.00782246054081198,1.0996413238833098,0.6119714168412527,-1.7135517866637107,3.1977521539058205
-0.005157078253839507,0.011243426298807372,-0.0020633528803180694,0.008069636021571845,1.1039541950363565,0.802583066792585,-1.8848781779093178,3.3395687218162453
-0.005244717217658646,0.011545084353673888,-0.0025740406234156313,0.007921619295655562,1.170987774172852,1.0473195844236602,-2.0234875208047125,3.079298209105049
-0.005105416065973267,0.011673821866339662,-0.0025856937071891523,0.007572402456346384,0.9669662587686175,0.9479762349488002,-1.9061570626454927,2.807819354522063
-0.005295594968187609,0.011693686304088879,-0.002823919515146331,0.007836029870156913,1.184165928539964,1.1757192893962118,-2.0812937694955247,2.946267653170912
-0.005198530675796428,0.011394952446763721,-0.0023210917507944916,0.007999343908356124,1.1642203454421622,0.9229049996190876,-1.9580728161786098,3.210446216799276
-0.0050540507902365524,0.011516966852387157,-0.002344886211553307,0.007655962342691791,0.9983523040078781,0.8279412387643034,-1.845004299463228,2.9354670065459945
-0.005010927998030125,0.011357633906904488,-0.002102904793214632,0.007737065112586694,1.0410292517636854,0.7141658375243033,-1.7789631185354045,3.0642915893725813
0.00577835898009388,0.012679131780828632,0.004456399266321351,0.007036841186023488,0.9447780678943616,2.1788053683509276,2.282499656813647,1.9868852489273532
0.005602565870535647,0.0126790281420403,0.00416294308558525,0.006835962692169853,0.9507849121794866,1.8650220933783423,2.130688243139618,1.910154185560662
0.0056776967364249135,0.012818814897697659,0.004355325840753134,0.00668100220539264,0.9268692711870467,1.986310193360693,2.1203551337722004,1.7705400282759631
0.0052403006216388106,0.012233691925655321,0.0033110870350202748,0.00707566982404208,0.8766482490427687,1.3501377115218516,1.971358344464417,2.2236736411791878
0.005450794902582387,0.012661729095794872,0.003910890712889624,0.006699402016225366,0.8471805491481073,1.7124450869252221,2.003670167723107,1.8320817440872272
0.005270874971899311,0.012395707486711496,0.0034776355579164663,0.006890307488330847,0.8349305695084172,1.4495824561140467,1.9538975154363938,2.041920376472751
0.005356858899997132,0.012542813766482292,0.0037002700798985516,0.0067767635780768,0.8384076186055557,1.5827611799750205,1.9752117286081958,1.9198179376131759
0.011545084353673888,0.01475528278234136,0.007918853984787038,-0.002582425164518132,1.7357258893883734,3.541719164806223,-2.2806745576054244,1.1739908445179872
0.01152799182416976,0.014921054552395877,0.007593514274561266,-0.0023558948443244917,1.3153414107556232,3.3657568281239523,-2.0998441487368904,0.9590610669573564
